mH(GeV)	CrossSection(pb)	+QCDScale%	-QCDScale%	(PDF+as)%	+full%	-full%
210.	0.014375912	0.3	-0.2	1.9	1.9235384061671343	-1.91049731745428
220.	0.013488343999999998	0.3	-0.2	1.9	1.9235384061671343	-1.91049731745428
230.	0.012668015999999999	0.3	-0.1	1.9	1.9235384061671343	-1.9026297590440446
240.	0.011914928	0.3	-0.1	1.9	1.9235384061671343	-1.9026297590440446
250.	0.011222356	0.3	-0.1	1.9	1.9235384061671343	-1.9026297590440446
260.	0.010576852	0.3	-0.1	1.9	1.9235384061671343	-1.9026297590440446
270.	0.00998514	0.3	-0.1	1.9	1.9235384061671343	-1.9026297590440446
280.	0.009433772	0.3	-0.1	1.9	1.9235384061671343	-1.9026297590440446
290.	0.008916024	0.3	-0.1	1.9	1.9235384061671343	-1.9026297590440446
300.	0.008445344	0.3	-0.1	1.9	1.9235384061671343	-1.9026297590440446
310.	0.00800156	0.3	-0.1	1.9	1.9235384061671343	-1.9026297590440446
320.	0.007584671999999999	0.3	-0.1	1.9	1.9235384061671343	-1.9026297590440446
330.	0.007201404	0.3	-0.1	1.9	1.9235384061671343	-1.9026297590440446
340.	0.0068383079999999995	0.3	-0.1	1.9	1.9235384061671343	-1.9026297590440446
350.	0.0064994184	0.3	-0.1	1.9	1.9235384061671343	-1.9026297590440446
360.	0.0061820456	0.3	-0.1	1.9	1.9235384061671343	-1.9026297590440446
370.	0.0058848448	0.3	-0.1	2.	2.0223748416156684	-2.0024984394500787
380.	0.0056057988	0.3	-0.1	2.	2.0223748416156684	-2.0024984394500787
390.	0.0053435628	0.3	-0.1	2.	2.0223748416156684	-2.0024984394500787
400.	0.005096792	0.3	-0.1	2.	2.0223748416156684	-2.0024984394500787
410.	0.004864814	0.3	0.	2.	2.0223748416156684	-2.
420.	0.004645611599999999	0.3	0.	2.	2.0223748416156684	-2.
430.	0.0044391848	0.3	-0.1	2.	2.0223748416156684	-2.0024984394500787
440.	0.0042441888	0.3	-0.1	2.	2.0223748416156684	-2.0024984394500787
450.	0.0040599512	0.3	-0.1	2.	2.0223748416156684	-2.0024984394500787
460.	0.0038851272	0.3	-0.1	2.	2.0223748416156684	-2.0024984394500787
